epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3678.48,1.05517,0.85713,0.86971,0.86396,0.07952,0.12094,0.09449,1.05023,0.8653,0.93678,0.000337325,0.000337325,0.000337325
63,3745.03,1.01082,0.84531,0.86388,0.83536,0.056,0.08561,0.06604,1.03223,0.85579,0.93664,0.000322778,0.000322778,0.000322778
64,3808.28,1.00745,0.82662,0.85533,0.81734,0.07952,0.11772,0.08955,1.00723,0.85682,0.93135,0.000308412,0.000308412,0.000308412
65,3858.74,0.99282,0.82234,0.85171,0.86126,0.07952,0.11986,0.08949,1.04308,0.85929,0.93248,0.000294239,0.000294239,0.000294239
66,3915.65,0.99679,0.81471,0.85485,0.86753,0.07952,0.1221,0.08989,1.0638,0.85804,0.9446,0.000280275,0.000280275,0.000280275
67,3983.59,0.98686,0.80803,0.85783,0.75828,0.08486,0.12511,0.09252,1.07822,0.86363,0.94713,0.000266532,0.000266532,0.000266532
68,4041.66,0.99326,0.81006,0.85541,0.82507,0.0814,0.11673,0.09086,1.04232,0.85302,0.93421,0.000253024,0.000253024,0.000253024
69,4090.26,1.01248,0.78926,0.85673,0.854,0.08112,0.12183,0.09374,1.02246,0.83814,0.93814,0.000239766,0.000239766,0.000239766
70,4143.05,1.00795,0.80841,0.86499,0.74784,0.056,0.09616,0.07387,1.06286,0.87769,0.93562,0.000226769,0.000226769,0.000226769
71,4202.49,1.00718,0.8246,0.8497,0.83683,0.07952,0.12162,0.09248,1.02961,0.82618,0.93223,0.000214046,0.000214046,0.000214046
72,4248.41,0.99558,0.79513,0.85018,0.86047,0.07952,0.12299,0.0957,1.02899,0.81471,0.9348,0.000201611,0.000201611,0.000201611
73,4317.11,0.99627,0.81964,0.85297,0.81915,0.058,0.09468,0.07361,1.02558,0.81343,0.93181,0.000189475,0.000189475,0.000189475
74,4366.91,0.99186,0.79114,0.84916,0.87472,0.08152,0.1207,0.09289,1.05613,0.81161,0.9453,0.000177651,0.000177651,0.000177651
75,4421.42,0.98228,0.77591,0.85004,0.80542,0.10651,0.15691,0.12166,1.03572,0.79555,0.93373,0.000166149,0.000166149,0.000166149
76,4474.04,0.95947,0.77487,0.847,0.79596,0.05784,0.09322,0.07242,1.02455,0.78982,0.9332,0.000154982,0.000154982,0.000154982
77,4533.87,0.92891,0.74304,0.84841,0.79436,0.10649,0.14958,0.11779,1.03861,0.8062,0.9352,0.000144161,0.000144161,0.000144161
78,4588.18,0.93566,0.75107,0.84451,0.82507,0.08104,0.12336,0.09494,1.02392,0.80902,0.93259,0.000133695,0.000133695,0.000133695
79,4637.5,0.94885,0.74422,0.849,0.76126,0.05773,0.09424,0.06988,1.07271,0.80667,0.94319,0.000123596,0.000123596,0.000123596
80,4696.43,0.95072,0.7512,0.85128,0.83833,0.05788,0.09471,0.07317,1.0189,0.79801,0.93239,0.000113873,0.000113873,0.000113873
81,4755.62,0.97039,0.76587,0.845,0.85243,0.08152,0.1235,0.09945,1.01945,0.78817,0.93575,0.000104537,0.000104537,0.000104537
82,4812.79,0.95206,0.73175,0.84279,0.85319,0.08152,0.12417,0.09696,1.05181,0.79129,0.94002,9.55951e-05,9.55951e-05,9.55951e-05
83,4881.62,0.91967,0.74212,0.84953,0.77176,0.058,0.09494,0.07129,1.02976,0.79285,0.93356,8.70577e-05,8.70577e-05,8.70577e-05
84,4942.22,0.93774,0.73232,0.84752,0.7074,0.09486,0.12338,0.09708,1.01632,0.78212,0.93616,7.89327e-05,7.89327e-05,7.89327e-05
85,4989.92,0.93818,0.74383,0.84954,0.76093,0.10671,0.15372,0.12282,1.0017,0.78213,0.93204,7.12282e-05,7.12282e-05,7.12282e-05
86,5045.12,0.89249,0.72677,0.84781,0.7911,0.10671,0.1528,0.11794,0.99832,0.78007,0.93383,6.39518e-05,6.39518e-05,6.39518e-05
87,5104.15,0.88564,0.71636,0.83797,0.80481,0.058,0.09385,0.07143,1.01947,0.7795,0.9397,5.71106e-05,5.71106e-05,5.71106e-05
88,5160.32,0.90781,0.70213,0.84939,0.79539,0.10671,0.15739,0.12042,1.00705,0.76657,0.93594,5.07115e-05,5.07115e-05,5.07115e-05
89,5208.35,0.89022,0.70703,0.84153,0.77248,0.058,0.09481,0.0736,1.00651,0.76395,0.93251,4.47606e-05,4.47606e-05,4.47606e-05
90,5251.44,0.90173,0.69708,0.84829,0.66189,0.068,0.09427,0.07214,1.02944,0.77434,0.93904,3.9264e-05,3.9264e-05,3.9264e-05
91,5323.97,1.07311,0.86268,0.88905,0.68265,0.09486,0.12341,0.09659,1.00994,0.77276,0.93656,3.4227e-05,3.4227e-05,3.4227e-05
92,5375.55,1.03351,0.84887,0.88526,0.72655,0.12805,0.18538,0.14648,0.99468,0.76393,0.93162,2.96546e-05,2.96546e-05,2.96546e-05
93,5424.52,1.0109,0.81894,0.87518,0.79902,0.12138,0.1869,0.14702,0.99658,0.75324,0.93145,2.55513e-05,2.55513e-05,2.55513e-05
94,5472.58,1.01163,0.80377,0.87786,0.72549,0.09486,0.1179,0.09386,0.99298,0.7447,0.9319,2.19212e-05,2.19212e-05,2.19212e-05
95,5519.24,0.99165,0.81932,0.87027,0.57018,0.14805,0.17874,0.14216,1.00315,0.74001,0.934,1.87678e-05,1.87678e-05,1.87678e-05
96,5555.27,0.99086,0.80522,0.87761,0.7477,0.09486,0.11551,0.09484,1.00125,0.73698,0.93297,1.60943e-05,1.60943e-05,1.60943e-05
97,5594.22,0.97194,0.78032,0.86816,0.55635,0.15291,0.17824,0.14244,0.9964,0.73825,0.93106,1.39032e-05,1.39032e-05,1.39032e-05
98,5652.47,0.99805,0.80569,0.86675,0.72562,0.21349,0.26726,0.20855,0.99984,0.73855,0.93101,1.21968e-05,1.21968e-05,1.21968e-05
99,5689.59,0.97204,0.78758,0.87637,0.6792,0.12571,0.14715,0.11882,0.99996,0.73656,0.93148,1.09768e-05,1.09768e-05,1.09768e-05
100,5740.67,0.99177,0.81082,0.86827,0.58329,0.14961,0.17862,0.14118,1.00266,0.73557,0.93241,1.02443e-05,1.02443e-05,1.02443e-05
